,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_reer,us_oil_price,us_credit,us_credit_qoq_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_sp500_close,us_sp500_qoq_growth
1990-03-31,77.2043845162229,5.232877,5.3,98.19780666666666,10047.386,2.821006526483294,8.59,,20.34,7192.124,1.7858350865801451,8.094812184744548,62.5999,19.73,339.94000244140625,-3.8087129845906897
1990-06-30,76.4490582714173,4.58221,5.333333,97.83914333333333,10083.855,2.412704964193124,8.48,,17.05,7303.613,1.5501540296023908,7.159417763700371,62.8382,15.5,358.0199890136719,5.318581644530629
1990-09-30,75.6005698784759,5.53476,5.7,85.14301,10090.569,1.7273622503686914,8.89,,39.53,7384.432,1.1065619166842344,6.583452530270728,62.9523,29.11,306.04998779296875,-14.515949616075352
1990-12-31,74.4160516992853,6.223517,6.133333,70.07979666666667,9998.704,0.6030627340393391,8.08,,28.48,7458.077,0.9973008079700696,5.549709040752981,61.3352,26.38,330.2200012207031,7.897407087656694
1991-03-31,74.5810986520791,5.285082,6.6,80.65991333333334,9951.916,-0.9501973946258402,8.11,,19.63,7468.526,0.1401031391872198,3.843120613604545,60.3346,16.88,375.2200012207031,13.627278733465984
1991-06-30,74.1845969590247,4.845361,6.833333,86.86452000000001,10029.51,-0.5389307958117096,8.28,,20.56,7538.276,0.9339192231506032,3.2129714430378487,61.5581,19.55,371.1600036621094,-1.0820312204534277
1991-09-30,73.8102516891055,3.876362,6.866667,88.90881666666667,10080.195,-0.1028088703421969,7.65,,22.25,7540.773,0.0331242846507651,2.117170284728753,62.2195,15.85,387.8599853515625,4.499402285989884
1991-12-31,73.9161140092293,2.991773,7.1,77.32448666666667,10115.329,1.1664011655910578,7.09,,19.15,7581.419,0.5390163581372898,1.653804325163177,61.7852,19.31,417.0899963378906,7.536227528043038
1992-03-31,74.343754939348,2.868447,7.366667,76.14094999999999,10236.435,2.858936912248855,7.54,,19.49,7615.218,0.4458136399003942,1.9641358950882597,62.4232,16.18,403.6900024414063,-3.2127344252171564
1992-06-30,73.7520437426397,3.097345,7.6,84.92782,10347.429,3.169835814511379,7.26,,21.84,7656.355,0.5401946470869223,1.566392634071767,63.1363,13.35,408.1400146484375,1.102334013752837
1992-09-30,73.8806159211078,3.097561,7.633333,81.87932,10449.673,3.6653854414522735,6.42,,21.83,7711.512,0.7204080793014489,2.2642108441667697,63.5703,14.28,417.7999877929688,2.3668282446777766
1992-12-31,73.9457425765761,3.050109,7.366667,89.51851666666668,10558.648,4.382645388993267,6.77,,19.49,7773.848,0.8083499059587718,2.538166008236709,64.3507,12.57,435.7099914550781,4.286741068787259
1993-03-31,73.5355172054693,3.197115,7.133333,93.89402,10576.275,3.319905807050993,5.98,,20.44,7812.554,0.4979001390302384,2.5913375034043677,64.8522,12.53,451.6700134277344,3.6629919638420105
1993-06-30,73.7903750223239,3.147353,7.066667,88.72949,10637.847,2.806668207145946,5.96,,18.82,7919.946,1.3746080987088185,3.4427740093033954,64.9301,11.26,450.5299987792969,-0.2523998969481966
1993-09-30,74.0172720557835,2.744263,6.8,83.27804333333334,10688.606,2.286511740606612,5.36,,18.72,8028.094,1.3655143608302334,4.105316830214356,65.3717,12.99,458.9299926757813,1.8644693847788216
1993-12-31,74.2899670081485,2.724924,6.633333,90.41513666666667,10833.987,2.6077107599381977,5.77,,14.19,8151.103,1.532231685378882,4.852873377508793,66.5436,11.66,466.4500122070313,1.63859840308207
1994-03-31,74.6910431721062,2.515723,6.566667,100.06278000000002,10939.116,3.430706936043171,6.48,88.27,14.78,8260.279,1.3394015509312185,5.730840388431235,67.4552,20.45,445.7699890136719,-4.433491832385384
1994-06-30,74.877131820295,2.380952,6.2,99.20201000000002,11087.361,4.225610689832271,7.1,87.12,19.37,8399.652,1.6872674639682117,6.05693523667965,68.6265,14.97,444.2699890136719,-0.3364964077817278
1994-09-30,74.788679868747,2.878195,6.0,97.62395666666667,11152.176,4.337048254936149,7.46,84.74,18.36,8528.83,1.5378970462109676,6.237296175156892,69.3961,14.28,462.7099914550781,4.150629774103143
1994-12-31,74.8073314536137,2.652641,5.633333,100.20620666666666,11279.932,4.116167021429895,7.81,86.11,17.77,8699.19,1.9974603785044345,6.724083844848972,71.1523,13.2,459.2699890136719,-0.7434467603754435
1995-03-31,74.8905655305094,2.840264,5.466667,101.49733666666667,11319.951,3.481405627292,7.2,86.01,19.18,8807.641,1.2466792885314604,6.626434772965895,71.3113,13.37,500.7099914550781,9.02301553175786
1995-06-30,74.9161560125794,3.093249,5.666667,98.62817,11353.721,2.4023751008017014,6.17,82.21,17.38,8978.958,1.9450951736111888,6.8967857239800034,71.7749,11.38,544.75,8.79551223192896
1995-09-30,75.2833888472521,2.641003,5.666667,100.2421,11450.31,2.6733258155179795,6.2,85.21,17.54,9125.043,1.6269705237511811,6.990560252695843,72.7144,12.74,584.4099731445312,7.2803989251089885
1995-12-31,75.3955893480103,2.650924,5.566667,96.61974,11528.067,2.1997916299495213,5.71,86.35,19.54,9279.97,1.6978221362901946,6.676253766155216,73.0305,12.52,615.9299926757812,5.393477349753373
1996-03-31,75.6313983003169,2.739726,5.533333,97.37289666666668,11614.418,2.601309846659228,6.27,86.82,21.43,9410.866,1.4105218012558265,6.848882691744596,73.585,18.88,645.5,4.800871474980117
1996-06-30,75.6114040921146,2.847131,5.5,98.44885,11808.14,4.002379484223728,6.91,87.08,20.92,9590.932,1.913383954250336,6.815646091673444,75.4433,13.68,670.6300048828125,3.893106875726171
1996-09-30,75.7642213344847,2.943742,5.266667,102.10706666666668,11914.063,4.0501348871777365,6.83,86.82,24.2,9739.846,1.5526541111958505,6.737535373805903,76.3158,16.95,687.3300170898438,2.490197588154364
1996-12-31,75.6957701866914,3.190104,5.333333,104.94036666666666,12037.775,4.421452442981133,6.3,87.47,25.9,9877.376,1.4120346461330202,6.4375854663323295,77.5333,20.92,740.739990234375,7.770644641808189
1997-03-31,75.831180940237,2.946237,5.233333,106.5543,12115.472,4.314068944306992,6.69,90.56,20.35,10009.716,1.3398295255744097,6.363388874095111,79.082,22.14,757.1199951171875,2.2113028996355144
1997-06-30,76.2645711104951,2.342419,5.0,110.85806666666667,12317.221,4.31127171595187,6.49,89.16,19.82,10206.773,1.9686572526133483,6.421075657714992,79.9792,21.53,885.1400146484375,16.908815030229785
1997-09-30,76.6141314803323,2.202923,4.866667,113.8707,12471.01,4.674702492340366,6.21,91.79,21.13,10437.733,2.262811174501489,7.165277561883432,82.2156,22.91,947.280029296875,7.020359900136075
1997-12-31,77.1938817020323,1.871714,4.666667,112.93826666666666,12577.495,4.483552816031211,5.81,96.75,17.65,10642.672,1.9634435945046655,7.747968691279961,83.9538,24.01,970.4299926757812,2.443835261267924
1998-03-31,78.1561420030997,1.462294,4.633333,116.0226,12703.742,4.855526883310857,5.65,97.24,15.75,10867.157,2.109291726739282,8.566087189686499,84.488,24.22,1101.75,13.53214640060001
