,us_real_gdp,us_gdp_yoy_growth,us_bond_yield_10y,us_bond_yield_1y,us_term_spread,us_reer,us_reer_log_ret,us_oil_price,us_oil_log_ret,us_credit,us_credit_mom_growth,us_credit_yoy_growth,us_industrial_production,us_vix,us_vix_log_ret,us_sp500_close,us_sp500_log_ret,us_house_price_idx,us_cpi,us_unemployment,us_consumer_confidence,us_delinquency_rate,us_delinquency_rate_raw,delinquency_spline,covid_dummy,us_house_price_yoy,us_indprod_yoy,us_oil_yoy,us_reer_interp,us_reer_diff,us_bond_yield_10y_d1,us_house_price_yoy_L7,us_unemployment_L0,us_consumer_confidence_L4,us_credit_mom_growth_L18,us_gdp_yoy_growth_L4,us_cpi_L0,us_indprod_yoy_L6,us_sp500_log_ret_L12,us_bond_yield_10y_d1_L5,us_reer_diff_L0,us_oil_yoy_L5,us_vix_log_ret_L12
1990-01-31,9971.730078040717,2.660054740364415,8.21,8.08,0.1300000000000007,,,22.69,0.0381811479150461,7111.441076486292,0.6439778623346548,8.06582899885544,61.729,25.36,,329.0799865722656,-0.0712997011178852,77.82958729693769,5.198019801980203,5.4,99.80492,,,,0,,,,88.66,,,,5.4,,,,5.198019801980203,,,,,,
1990-02-28,10009.980466455798,2.736217000099117,8.47,8.12,0.3500000000000014,,,21.55,-0.0515484822419936,7150.361311033619,0.5472904032913339,8.131580497396795,62.2896,21.99,-0.1425853250023554,331.8900146484375,0.0085027913544831,77.54092866674384,5.263157894736836,5.3,99.83488,,,,0,,,,88.66,0.0,0.2599999999999998,,5.3,,,,5.263157894736836,,,,0.0,,
1990-03-31,10047.386,2.821006526483294,8.59,8.35,0.2400000000000002,,,20.34,-0.0577864259293428,7192.124,0.5840640374625172,8.094812184744548,62.5999,19.73,-0.1084474845321457,339.94000244140625,0.0239655057797279,77.2043845162229,5.237315875613735,5.2,99.83383,,,,0,,,,88.66,0.0,0.11999999999999922,,5.2,,,,5.237315875613735,,,,0.0,,
1990-04-30,10068.103155502757,2.776336703112925,8.79,8.58,0.209999999999999,,,18.5,-0.0948186585361347,7231.782461352221,0.5514151501311737,7.858176333592692,62.4359,19.52,-0.0107007390495775,330.79998779296875,-0.0272552123830893,76.92094125472406,4.711616571892785,5.4,99.75847,,,,0,,,,88.66,0.0,0.1999999999999993,,5.4,,,,4.711616571892785,,,,0.0,,
1990-05-31,10077.814054326424,2.618200922605851,8.76,8.22,0.5399999999999991,,,17.47,-0.057285607938314,7270.44407401102,0.534606963987283,7.496028404808275,62.6258,17.37,-0.1166950007319327,361.2300109863281,0.0880009787379116,76.6697574520812,4.365400161681476,5.4,99.58729,,,,0,,,,88.66,0.0,-0.02999999999999936,,5.4,99.80492,,2.660054740364415,4.365400161681476,,,,0.0,,
1990-06-30,10083.855,2.412704964193124,8.48,8.05,0.4299999999999997,,,17.05,-0.0243349204164392,7303.613,0.4562159567053969,7.159417763700371,62.8382,15.5,-0.1139045563278126,358.0199890136719,-0.0089260849102096,76.4490582714173,4.673650282030639,5.2,99.30061,,,,0,,,,88.66,0.0,-0.27999999999999936,,5.2,99.83488,,2.736217000099117,4.673650282030639,,,,0.0,,
1990-07-31,10092.141658276363,2.192549028893165,8.47,7.72,0.7500000000000009,,,20.57,0.1876834999353399,7332.395816502864,0.3940901099615201,6.9195997086229255,62.7284,21.11,0.3089068379350282,356.1499938964844,-0.0052368467888153,76.22062031128024,4.819277108433728,5.5,98.90424,,,,0,,,,88.66,0.0,-0.009999999999999787,,5.5,99.83383,,2.821006526483294,4.819277108433728,,,0.2599999999999998,0.0,,
1990-08-31,10096.978583539978,1.9650341816922268,8.75,7.76,0.9900000000000002,,,27.45,0.2885324642906738,7358.386940076912,0.3544697289193044,6.749147853962256,62.9475,29.9,0.3481116185364115,322.5599975585937,-0.0990628154127713,75.94914790856535,5.702811244979911,5.7,98.42941,,,,0,,,,88.66,0.0,0.27999999999999936,,5.7,99.75847,,2.776336703112925,5.702811244979911,,,0.11999999999999922,0.0,,
1990-09-30,10090.569,1.7273622503686914,8.89,7.69,1.2000000000000002,,,39.53,0.3646937093530545,7384.432,0.3539506706454309,6.583452530270728,62.9523,29.11,-0.0267767226391089,306.04998779296875,-0.0525407104627689,75.6005698784759,6.169871794871806,5.9,97.94892,,,,0,,,,88.66,0.0,0.14000000000000057,,5.9,99.58729,,2.618200922605851,6.169871794871806,,,0.1999999999999993,0.0,,
1990-10-31,10067.305427573105,1.4454540526176451,8.72,7.43,1.290000000000001,,,35.31,-0.112893667368299,7414.103014252645,0.4018049628278231,6.349700205819042,62.5845,30.04,0.031448069138402,304.0,-0.0067207460051146,75.13850698846524,6.379585326953752,5.9,97.5319,,,,0,,,,88.66,0.0,-0.16999999999999993,,5.9,99.30061,,2.412704964193124,6.379585326953752,,,-0.02999999999999936,0.0,,
